2019-07-17 15:24:53,534 thread:11376 INFO crawl book url, thread *Crawl book url thread 1*  ==>RUN
2019-07-17 15:24:53,535 thread:116 INFO crawl book url, thread *Crawl book url thread 2*  ==>RUN
2019-07-17 15:24:59,650 thread:116 INFO 分类：B0-0， 统计：2904
2019-07-17 15:24:59,788 thread:11376 INFO 分类：B0， 统计：11825
2019-07-17 15:25:03,593 thread:11376 INFO |B0 2018| count: 288
2019-07-17 15:25:10,083 thread:11376 INFO |B0 2018| http://book.ucdrs.superlib.net/views/specific/2929/bookDetail.jsp?dxNumber=000018035180&d=9FB91F17ED48ABE4A2E37F3E0736E4A7&fenlei=02020507
2019-07-17 15:25:10,083 thread:11376 INFO |B0 2018| http://book.ucdrs.superlib.net/views/specific/2929/bookDetail.jsp?dxNumber=000018036874&d=2AEA159A6C7C430FD0B046CB6EFD4C48&fenlei=02020206
2019-07-17 15:25:10,084 thread:11376 INFO |B0 2018| http://book.ucdrs.superlib.net/views/specific/2929/bookDetail.jsp?dxNumber=000018107683&d=3D8651531CE08C56F25BB134654AC970&fenlei=02020506
2019-07-17 15:25:10,084 thread:11376 INFO |B0 2018| http://book.ucdrs.superlib.net/views/specific/2929/bookDetail.jsp?dxNumber=000018102657&d=8FE2BB945C10013121046174210E8082&fenlei=02020306
2019-07-17 15:25:10,084 thread:11376 INFO |B0 2018| http://book.ucdrs.superlib.net/views/specific/2929/bookDetail.jsp?dxNumber=000018037230&d=E79EC86CF434CB6B84F4D36526EF1A5E&fenlei=02020506
2019-07-17 15:25:10,084 thread:11376 INFO |B0 2018| http://book.ucdrs.superlib.net/views/specific/2929/bookDetail.jsp?dxNumber=000017815620&d=B3FEFAC52A3DE5E4CE2F440A57282135&fenlei=0202
2019-07-17 15:25:10,084 thread:11376 INFO |B0 2018| http://book.ucdrs.superlib.net/views/specific/2929/bookDetail.jsp?dxNumber=000018037632&d=5765F6734678CED6566399B5C85E3735&fenlei=02020503
2019-07-17 15:25:10,084 thread:11376 INFO |B0 2018| http://book.ucdrs.superlib.net/views/specific/2929/bookDetail.jsp?dxNumber=000017950521&d=501E024E58EAF1094F00DA81BDC74791&fenlei=020201
2019-07-17 15:25:10,084 thread:11376 INFO |B0 2018| http://book.ucdrs.superlib.net/views/specific/2929/bookDetail.jsp?dxNumber=000017958869&d=EFE1229AD11E3B2C6F13986D89BFDC95&fenlei=020203
2019-07-17 15:25:10,084 thread:11376 INFO |B0 2018| http://book.ucdrs.superlib.net/views/specific/2929/bookDetail.jsp?dxNumber=000017969189&d=EBD9B86B2EBE7B7F24713B0AA68B68E8&fenlei=04070206
2019-07-17 15:25:10,085 thread:11376 INFO |B0 2018| http://book.ucdrs.superlib.net/views/specific/2929/bookDetail.jsp?dxNumber=000017966410&d=85565FDB703ADEC0CDEE6610AACA9561&fenlei=02020306
